vid_id,tr,en
kquB3rIgfGk_537_544@19,adam bir sürahi suya salatalık dilimleri ekledi,the man added cucumber slices to a pitcher of water
kquB3rIgfGk_537_544@20,adam dilimlenmiş salatalığı suya atıyor,the man is dropping sliced cucumbers into water
kquB3rIgfGk_537_544@21,kişi kesiyor ve pişiriyor,the person is the cutting and cooking
kquB3rIgfGk_537_544@22,bir bardak meyve suyu döken bir adam,a man pouring a glass of juice
kquB3rIgfGk_537_544@23,bir adam bir sürahiye sebze koyuyor,a man is putting vegetables in a pitcher
kquB3rIgfGk_537_544@24,bir adam bir sürahiye salatalık dilimleri koyar,a man puts cucumber slices in a pitcher
kquB3rIgfGk_537_544@25,adam kesilmiş sebzeyi buzlu suya koyuyor,the man is putting the cut vegetable in ice water
kquB3rIgfGk_537_544@26,bir adam salatalığı suya sokuyor,a man is putting cucumber into water
kquB3rIgfGk_537_544@27,bir adam salatalığı cam içine koyuyor,a man is felling the cucumber into the glass
kquB3rIgfGk_537_544@28,bir adam bir sürahi suya salatalık koyuyor,a man is putting cucumbers into a pitcher of water
kquB3rIgfGk_537_544@29,bir adam salatalık dilimliyor ve o kavanozun içindeki serin suya koyuyor,a man is slicing the cucumber and he put it into the cool water which is in the jar
kquB3rIgfGk_537_544@30,bir adam salatalığı suya sokuyor,a man is putting cucumver in water
kquB3rIgfGk_537_544@31,bir adam sebze dilimleri buzlu suya koyuyor,a man is putting vegetable slices into ice water
kquB3rIgfGk_537_544@32,bir adam bir sürahi suya doğranmış salatalık ekliyor,a man is adding chopped cucumbers in a jug of water
kquB3rIgfGk_537_544@33,birisi suya salatalık koyuyor,someone is putting cucumber in water
kquB3rIgfGk_537_544@35,bir adam bir sürahi suya salatalık koyuyor,a man is placing cucumbers in a pitcher of water
kquB3rIgfGk_537_544@36,bir adam bir sürahi içine dilimlenmiş salatalık koyuyor,a man is putting sliced cucumbers into a pitcher
kquB3rIgfGk_537_544@37,bir adam dilimlenmiş salatalığı bir sürahi suya yerleştiriyor,a man is placing sliced cucumbers into a pitcher of water
kquB3rIgfGk_537_544@38,banyoda çalışan bir adam,a man working in the bathroom
kquB3rIgfGk_537_544@39,bir adam salata yapıyor,a man is making salald
kquB3rIgfGk_537_544@40,bir adam bir sürahiye salatalık dilimleri koyar,a man puts cucumber slices in a pitcher
kquB3rIgfGk_537_544@41,adam su perdesine dilimlenmiş salatalık koydu,the man put sliced cucumbers into the water pitcher
kquB3rIgfGk_537_544@42,tembel adam içecek yapıyor,lazy man drink
kquB3rIgfGk_537_544@43,çok cl içecekler için hazırlanıyor,very cl preparing for drinks
kquB3rIgfGk_537_544@44,bir adam bir sürahi içine salatalık dilimleri koyuyor,a man is putting slices of cucumber into a jug
kquB3rIgfGk_537_544@45,bir adam bir sürahi suya salatalık dilimleri koyuyor,a man is putting cucumber slices into a pitcher of water
kquB3rIgfGk_537_544@46,bir adam salatalık dilimlerini buzlu sürahi içine bırakır,a man drops cucumber slices into a pitcher of ice water
kquB3rIgfGk_640_645@1,bir adam bir bardak su içer,a man drinks a glass of water
kquB3rIgfGk_640_645@2,bir adam bir bardaktan içer,a man drinks from a glass
kquB3rIgfGk_640_645@3,bir adam bir şey içer,a man drinks something
kquB3rIgfGk_640_645@4,bir adam camdan berrak bir sıvı içiyor,a man is drinking a clear liquid from a glass
kquB3rIgfGk_640_645@5,bir adam içki içiyor,a man is drinking a drink
kquB3rIgfGk_640_645@6,bir adam bir bardak berrak sıvı içiyor,a man is drinking a glass of clear liquid
kquB3rIgfGk_640_645@7,bir adam salatalık suyu içiyor,a man is drinking cucumber water
kquB3rIgfGk_640_645@8,bir adam camdan içiyor,a man is drinking from a glass
kquB3rIgfGk_640_645@9,bir adam camdan içiyor,a man is drinking from a glass
kquB3rIgfGk_640_645@10,bir adam camdan bir şey içiyor,a man is drinking something out of a glass
kquB3rIgfGk_640_645@12,bir adam bir bardaktan su içiyor,a man is drinking water from a glass
kquB3rIgfGk_640_645@13,bir adam camdan su içiyor,a man is drinking water from the glass
kquB3rIgfGk_640_645@14,bir adam su içiyor,a man is drinking water
kquB3rIgfGk_640_645@15,bir adam dökülen ve salatalık dilimleri ile bir bardak su içer,a man pours and drinks a glass of water with cucumber slices
kquB3rIgfGk_640_645@16,mutfakta duran bir adam soğuk salatalık suyu içer ve haykırıyor,a man standing in the kitchen drinks cold cucumber water and exclaims
kquB3rIgfGk_640_645@17,adam bir sınıf su içti,the man drank a class of water
kquB3rIgfGk_640_645@18,adam su içiyor,the man is drinking water
kquB3rIgfGk_640_645@19,adam bir yudum su aldı,the man took a sip of water
kquB3rIgfGk_640_645@20,kişi omlet yapıyor,the person is making omelet
kquB3rIgfGk_640_645@21,bir adam bir bardak su içer,a man drinks a glass of water
kquB3rIgfGk_640_645@22,meyve suyu döken bir adam,a man pouring a fruit juice
kquB3rIgfGk_640_645@23,bir adam içiyor,a man is drinking
kquB3rIgfGk_640_645@24,jack yemek hazırlamayı gösterir,jack is show how to prepare the food
kquB3rIgfGk_640_645@25,adam bir şeyler içiyor,the man is drinking something
kquB3rIgfGk_640_645@26,bir adam camdan içer,a man drinks out of a glass
kquB3rIgfGk_640_645@27,tembel bir adam bardaktan su içer,a lazy man drinks water from the glass
kquB3rIgfGk_640_645@29,bir adam bir bardak su içiyor,a man is drinking a cup of water
kquB3rIgfGk_640_645@30,bir adam su içiyor,a man is drinking water
kquB3rIgfGk_640_645@31,bir adam içki alıyor,a man is taking a drink
kquB3rIgfGk_640_645@32,bir adam bir bardaktan içer,a man drinks from a glass
kquB3rIgfGk_640_645@33,yemek yapan bir adam,a man coking
kquB3rIgfGk_640_645@34,salatalık suyunu hiç duymadık,we have never heard of the cucumber water
kquB3rIgfGk_640_645@35,bir bardak su içen adam,man having a glass of water
kquB3rIgfGk_640_645@36,bir kişi içiyor,a person is drinking
kquB3rIgfGk_640_645@37,su içen bir adam,a man drinking the water
kquB3rIgfGk_640_645@39,adam salatalık suyu içiyor,the man is drinking cucumber water
kquB3rIgfGk_640_645@40,bir adam su içiyor,a man is drinking water
kquB3rIgfGk_640_645@41,bir şef yaratılışından bir içki alır,a chef takes a drink of his creation
kquB3rIgfGk_640_645@44,bir adam suyu içiyor,a man drinking water
kquB3rIgfGk_640_645@45,su içen şişman bir adam,a fat men drinking the water
kquB3rIgfGk_640_645@46,tembel adamlar için süper yapılan içme videosu,super making for lazy mans drinking video
kquB3rIgfGk_640_645@47,bir adam içiyor,a man is drinking
krAk8WPZRL4_207_212@2,dört kişinin arkasına bir araba patlar,a car blows up behind four people
krAk8WPZRL4_207_212@3,bazı adamların arkasında bir araba patlar,a car blows up behind some men
krAk8WPZRL4_207_212@5,bir araba patladı,a car exploded
krAk8WPZRL4_207_212@6,bir araba 4 kişinin ardında patlar,a car explodes behind 4 people
krAk8WPZRL4_207_212@7,bir grup insanın arkasında bir araba patlar,a car explodes behind a group of guys
krAk8WPZRL4_207_212@8,bir yolda duran dört adamın arkasında bir araba patlar,a car explodes behind four men standing on a road
krAk8WPZRL4_207_212@9,bir araba dört kişinin arkasında patlar,a car explodes behind four people
krAk8WPZRL4_207_212@10,araba patlıyor,a car is blasting
krAk8WPZRL4_207_212@11,bir araba dört adamın arkasında esiyor,a car is blowing up behind four men
krAk8WPZRL4_207_212@12,bir araba yanıyor,a car is burning
krAk8WPZRL4_207_212@13,dört erkek yanan arabanın önünde duruyor,four boys are standing in front of the burning car
krAk8WPZRL4_207_212@14,patlama sesi duyulduğundan ve arkasındaki beyaz araba yanarken dört kişi ormanda duruyor,four men are standing in the woods as an explosion sound is heard and the white car behind them is burning
krAk8WPZRL4_207_212@15,dört genç adam patladığında arabadan uzaklaşıyor,four young men are walking away from a car when it explodes
krAk8WPZRL4_207_212@16,dört genç adam hala arkasında bir araba patlarken duruyor,four young men stand still as a car explodes behind them
krAk8WPZRL4_207_212@17,araba dört oğlanın arkasında havaya uçtu,the car blew up behind the four boys
krAk8WPZRL4_207_212@18,araba havaya uçtu,the car blew up
krAk8WPZRL4_207_212@20,halkın arkasında bir araba patlaması,a car blast behind the people
krAk8WPZRL4_207_212@21,araba korkmuş,the car is balsted
krAk8WPZRL4_207_212@22,bir araba dört adamın arkasında alevlerle patlar,a car explodes into flames behind four men
krAk8WPZRL4_207_212@23,bu yol yolculuğu sahnesi,this is road trip scene
krAk8WPZRL4_207_212@24,dört adamın arkasında bir araba patlar,a car explodes behind four men
krAk8WPZRL4_207_212@25,bir araba patlaması,a car blast
krAk8WPZRL4_207_212@26,mavi bir araba patlar,a blue car explodes
krAk8WPZRL4_207_212@27,ayakta duran insanların arkasında bir araba patladı,a car has blasted behind the people standing
krAk8WPZRL4_207_212@28,arabayı patlatmak,blasting the car
krAk8WPZRL4_207_212@29,bazı adamların arkasında bir araba patlar,a car explodes behind some men
krAk8WPZRL4_207_212@30,dört erkek gökyüzüne bakıyor,four boys are looking into the sky
krAk8WPZRL4_207_212@31,bir araba havaya uçurulur,a car blows up
krAk8WPZRL4_207_212@32,erkekler araba patlamasını duymaya bayıldı,men stunned to hear car explosion
krAk8WPZRL4_207_212@33,araba dört gençliğin arkasında patladı,the car exploded behind the four youth
krAk8WPZRL4_207_212@35,dört kişi yanan bir arabadan önce ayakta,four person standing before a burning car
krAk8WPZRL4_207_212@37,yolculuk,road trip
krAk8WPZRL4_207_212@38,araba patlıyor,a car is blasting
krAk8WPZRL4_207_212@39,erkekler ayakta duruyor,men are standing
krAk8WPZRL4_207_212@40,yolculuk videosu,road trip video
krAk8WPZRL4_207_212@41,bir araba yanıyor,a car is burning
kuNQpRTc-hA_126_135@1,bebeğın anne sevimli ilişkisi,a baby mother lovable relation
kuNQpRTc-hA_126_135@2,yürümeye başlayan çocuk doktor ofisinde bir aşı olur,a toddler gets a shot at the doctor s office
kuNQpRTc-hA_126_135@3,aşı olan bebek,baby receiving vaccine
kuNQpRTc-hA_126_135@4,doktor bir bebeğe enjeksiyon yapıyordu ve o bebek ağlıyordu,doctor was doing injection to a baby and that baby was crying
kuNQpRTc-hA_126_135@5,bebek için enjeksiyon yapılıyor,putting injection for baby
kuNQpRTc-hA_126_135@6,bebeğe kolundan bir atış yapıldı,the baby received a shot in the arm
kuNQpRTc-hA_126_135@7,doktor bebeğe enjekte uygular,the doctor inject the baby
kuNQpRTc-hA_126_135@8,bir bebeğe bir aşı yapılır ve ağlar,a baby gets a shot and cries
kuNQpRTc-hA_126_135@9,bir bebek koldan bir aşı yapılır ve ağlar,a baby gets a shot in the arm and cries
kuNQpRTc-hA_126_135@10,bir bebeğe bir aşı yapılır,a baby gets a shot
kuNQpRTc-hA_126_135@11,kolundan bir bebeğe enjekte ediliyor,a baby is being injected in the arm
kuNQpRTc-hA_126_135@12,bir bebek onun kolundan bir aşı yapılırken ağlıyor,a baby is crying when getting a shot in her arm
kuNQpRTc-hA_126_135@13,bebek vuruluyor,a baby is getting a shot
kuNQpRTc-hA_126_135@14,bir bebek omuzlarına bir enjeksiyon alıyor,a baby is getting an injection in his shoulders
kuNQpRTc-hA_126_135@15,bir bebek enjeksiyon alıyor,a baby is getting an injection
kuNQpRTc-hA_126_135@16,bir bebek grip aşısı alıyor,a baby is receiving a flu shot
kuNQpRTc-hA_126_135@17,bir bebek aşı yapılır,a baby receives a vaccination
kuNQpRTc-hA_126_135@18,bir çocuk aşı vurulur ve ağlar,a child gets a shot and cries
kuNQpRTc-hA_126_135@19,bir çocuğun sağ deltoid kasına deri altı enjeksiyonu uygulanmaktadır,a child is being administered with a subcutaneous injection on the right deltoid muscle
kuNQpRTc-hA_126_135@20,bir çocuğa aşı veriliyor,a child is being given a vaccination
kuNQpRTc-hA_126_135@21,bir çocuğa enjekte ediliyor,a child is being injected
kuNQpRTc-hA_126_135@22,bir çocuk enjeksiyon alıyor,a child is getting an injection
kuNQpRTc-hA_126_135@23,bir çocuk enjeksiyon alıyor,a child is getting an injection
kuNQpRTc-hA_126_135@24,doktor bebeğe bir şans verir,a doctor gives a shot to a baby
kuNQpRTc-hA_126_135@25,bir doktor ağlayan bir bebeğe bir şans verir,a doctor gives a shot to a crying baby
kuNQpRTc-hA_126_135@26,bebeğe enjeksiyon veren doktor,a doctor giving a injection to a baby
kuNQpRTc-hA_126_135@27,bir doktor küçük bir çocuğun koluna bir iğne enjekte ediyor,a doctor is injecting a needle into a young child s arm
kuNQpRTc-hA_126_135@28,doktor bebeğe enjekte ediyor,a doctor is injecting to a baby
kuNQpRTc-hA_126_135@29,doktor bebeğe enjeksiyon yapıyor,a doctor is putting injection to a baby
kuNQpRTc-hA_126_135@30,doktor çocuğa enjeksiyon yaptı,a doctor put an injection to child
kuNQpRTc-hA_126_135@31,bir hemşire küçük bir bebeğin sağ kolunu tutar ve doktor bölgeyi pamukla sildikten sonra bir şırınga ile aşı enjekte eder,a nurse holds the right arm of a small baby and a doctor injects a vaccine with a syringe after wiping the area with cotton
kuNQpRTc-hA_126_135@32,küçük bir çocuğa hipodermik iğne ile aşı vuruluyor,a young child is being given a shot with a hypodermic needle
kuNQpRTc-hA_126_135@33,asyalı bir bebek kolunda bir enjeksiyon alıyor,an asian baby is getting an injection shot on his arm
kuNQpRTc-hA_126_135@34,bir çocuğa bir enjeksiyon verilir,an injection is given to a kid
kuNQpRTc-hA_126_135@35,bebek aşı oluyor,baby is receiving a vaccination
kuNQpRTc-hA_126_135@36,video enjeksiyonunda bir bebeğe verilir ve o ağlıyor,in video injection is given to a baby and he is crying
kuNQpRTc-hA_126_135@37,küçük kız bir aşı oluyor,little girl receiving a shot
kuNQpRTc-hA_126_135@38,küçük çocuk aşı oluyor,small child get an vaccination
kuNQpRTc-hA_126_135@39,doktor bebeğe enjekte ediyor,the doctor is injecting the baby
kuNQpRTc-hA_126_135@40,doktor çocuğu enjekte ediyor,the doctor is injecting the child
kzyFBlNRohs_82_88@1,bir çocuk gitar çalıyor,a boy is playing a guitar
kzyFBlNRohs_82_88@2,bir çocuk gitar çalıyor,a boy is playing a guitar
kzyFBlNRohs_82_88@3,bir çocuk gitar çalıyor,a boy is playing a guitar
kzyFBlNRohs_82_88@4,bir çocuk gitar çalıyor,a boy is playing a guitar
kzyFBlNRohs_82_88@5,bir çocuk gitar çalıyor,a kid is playing a guitar
kzyFBlNRohs_82_88@6,bir çocuk bir akustik gitar çalıyor bir kanepede oturuyor,a boy is sitting on a couch playing an acoustic guitar
kzyFBlNRohs_82_88@8,biri gitar çalıyor,someone is playing a guitar
kzyFBlNRohs_82_88@13,küçük çocuk gitar çalıyor,the little boy is playing the guitar
kzyFBlNRohs_82_88@14,birisi akustik gitar çalıyor,someone is playing an acoustic guitar
kzyFBlNRohs_82_88@16,çocuk onun gitar çaldı,the boy played his guitar
kzyFBlNRohs_82_88@18,bir çocuk gitar çalıyor,a boy is playing a guitar
kzyFBlNRohs_82_88@19,bir çocuk gitar çalıyor,a boy is playing a guitar
kzyFBlNRohs_82_88@20,bir çocuk gitar çalıyor,a boy is playing a guitar
kzyFBlNRohs_82_88@23,bir erkek gitar çalıyor,a boys is playing gitur
kzyFBlNRohs_82_88@24,bir kız gitar çalıyor,a girl is palying guitar
kzyFBlNRohs_82_88@26,bir genç bir gitar çalar,a teenager plays a guitar
kzyFBlNRohs_82_88@28,çocuk gitar çalıyor,the boy is playing the guitar
kzyFBlNRohs_82_88@30,gitar çalan çocuk,boy playing gitter
l57mQZvDaL4_10_30@1,bir kedi diliyle büyük bir köpeği tımar ediyor,a cat is grooming a large dog with it s tongue
l57mQZvDaL4_10_30@2,bir kedi uyuyan bir köpeğin kafası yalıyor,a cat licks a sleeping dogs head
l57mQZvDaL4_10_30@3,bir köpek ve kedi yan yana oturuyor ve kedi köpeklerin kafasını yalıyor,a dog and cat are sitting next to one another and the cat is licking the dogs head
l57mQZvDaL4_10_30@4,bir kedi uyuyan bir köpeği yalıyor,a cat is licking a sleeping dog
l57mQZvDaL4_10_30@5,bir kedi bir köpeğin yüzünü yalıyor,a cat is licking a dog s face
l57mQZvDaL4_10_30@6,bir kedi bir köpek yalıyor,a cat is licking a dog
l57mQZvDaL4_10_30@7,bir kedi bir köpek yalıyor,a cat is licking a dog
l57mQZvDaL4_10_30@8,bir kedi bir köpeğin kafasını yalıyor,a cat is licking a dog s head
l57mQZvDaL4_10_30@9,bir kedi bir köpeğin kafasını yalıyor,a cat licks a dog s head
l57mQZvDaL4_10_30@10,bir kedi köpeği temizliyor,a cat is cleaning a dog
l57mQZvDaL4_10_30@11,bir kedi bir köpeği yalıyor,a cat is licking a dog
l57mQZvDaL4_10_30@12,bir kedi bir köpeği yalıyor,a cat is licking a dog
l57mQZvDaL4_10_30@13,kedi köpeğin kafasını yaladı,the cat licked the dog s head
l57mQZvDaL4_10_30@14,kedi uyuyan köpeğin kafasını yalıyor,the cat is licking the sleeping dog s head
l57mQZvDaL4_10_30@15,bir kedi bir köpek mamülleri,a cat grooms a dog
l57mQZvDaL4_10_30@16,kedi köpeğin kafasını yaladı,the cat licked the dog s head
l57mQZvDaL4_10_30@17,kedi ve köpek oynuyor,cat and dog are playing
l57mQZvDaL4_10_30@18,hayvanlar oynuyor,the animals are playing
l57mQZvDaL4_10_30@19,kedi ve köpek ile dostluk,friendship with cat and dog
l57mQZvDaL4_10_30@20,bir kedi bir köpeği yalıyor,a cat is licking a dog
l57mQZvDaL4_10_30@21,kedi köpeklerin boynunu yalıyor ve köpek zevk alıyor,the cat is licking the dogs neck and the dog is enjoying is
l57mQZvDaL4_10_30@22,kedi köpekle oynuyor,the cat is playing with dog
l57mQZvDaL4_10_30@23,köpek ve kedi arkadaştı,dog and cat were friends
l57mQZvDaL4_10_30@25,bir kedi köpeğin kulağını yalıyor,a cat is licking a dog s ear
l57mQZvDaL4_10_30@26,bir kedi diliyle bir köpeği tımar ediyor,a cat is grooming a dog with its tongue
l57mQZvDaL4_10_30@27,bir kedi bir köpeğin kafasını yalıyor,a cat is licking a dog s head
l57mQZvDaL4_10_30@28,bir kedi sokak kenarında uyuyan bir köpeği yalıyor,a cat is licking a sleeping dog on the streetside
l57mQZvDaL4_10_30@29,en iyi arkadaşlar köpek ve kedi,best friends dog and cat
l57mQZvDaL4_10_30@30,köpek ayakta uyuyor ve kedinin yanında köpek,dog sleeping the foot and near cat is dog had eaching
l57mQZvDaL4_10_30@31,köpek gerisini alıyor,the dog is taking the rest
l57mQZvDaL4_10_30@32,bir kedi köpeklerin kafasını yalıyor,a cat is licking a dogs head
l57mQZvDaL4_10_30@33,hayvanlar oynuyor,an animals are playing
l57mQZvDaL4_10_30@34,kedi köpeğin kafasını yalıyor,the cat is licking the dog s head
l57mQZvDaL4_10_30@35,bir kedi kafasında uyuyan bir köpeği yalıyor,a cat is licking a sleeping dog on his head
l57mQZvDaL4_10_30@36,bir köpek ve kedi oynuyor,a dog and cat is playing
l57mQZvDaL4_10_30@37,gerçekten süper dost köpek ve kedi,really super friendly dog and cat
l57mQZvDaL4_10_30@38,bir kedi bir köpeği yalıyor,a cat is licking a dog
l5JJ2n2ggiQ_319_327@1,süpermen in büyük beton levhalarını bir kapıdan uzaklaştırarak canlandırması,animation of superman removing large slabs of concrete away from a door
l5JJ2n2ggiQ_319_327@2,bir adam büyük tuğla kaldırıyor,a man lifts large bricks
l5JJ2n2ggiQ_319_327@3,animasyonlu bir süpermen moloz yığınına uçar ve bazı gizli kapıları açığa çıkarmak için molozdan birkaç büyük parça taşır,an animated superman flies to a pile of rubble and he moves a few large pieces of the rubble to reveal some hidden doors
l5JJ2n2ggiQ_319_327@4,bir süper kahraman karikatür nesneleri bir kapıdan uzak iter,a superhero cartoon pushes objects away from a door
l5JJ2n2ggiQ_319_327@5,animasyonlu bir karakter tuğla taşıyor,a animated character is moving bricks
l5JJ2n2ggiQ_319_327@6,süper adam kayaları itiyor,super man is pushing rocks
l5JJ2n2ggiQ_319_327@7,bir çizgi filmde,in a cartoon
l5JJ2n2ggiQ_319_327@8,bir çizgi film süper kahraman büyük parça kayaları kaldırıyor,a cartoon superhero is lifting large pieces of rocks
l5JJ2n2ggiQ_319_327@9,süpermen birkaç dev blok taşır,superman moves several giant blocks
l5JJ2n2ggiQ_319_327@10,bir adam büyük kayalar kaldırıyor,a man is lifting big rocks
l5JJ2n2ggiQ_319_327@11,bir adam büyük kayaları hareket ettiriyor,a man is moving large rocks
l5JJ2n2ggiQ_319_327@12,süpermen ağır kayaları kaldırıyor,superman is lifting heavy rocks
l5JJ2n2ggiQ_319_327@13,bir karikatür süpermen bir binanın girişinden önce yere düşen büyük kayaları iter,a cartoon superman pushes huge boulders fallen on the ground before a building entrance
l5JJ2n2ggiQ_319_327@14,karikatür süperman kayalar bir kenara taşıdı,cartoon superman moved the boulders aside
l5JJ2n2ggiQ_319_327@15,süpermen dev kayaları hareket ettiriyor,superman is moving the giant rocks
l5JJ2n2ggiQ_319_327@16,süpermen insanüstü özellikleri gerçekleştirir,superman performs superhuman feats
l5JJ2n2ggiQ_319_327@17,süpermen içeri girmek için kaya bloklarını taşıdı,superman moved the blocks of rock to get inside
l5JJ2n2ggiQ_319_327@18,süpermen bina kazasını çok çabuk kaldırıyor,the superman remove the building crash very quickly
l5JJ2n2ggiQ_319_327@19,süpermen büyük kayaları hareket ettiriyor,superman is moving huge rocks
l5JJ2n2ggiQ_319_327@20,bir süpermen bir taş itiyor,a superman is pushing a stone
l5JJ2n2ggiQ_319_327@21,süper adam bir kapıdan içeri girmek için tuğlaları uzaklaştırıyor,super man is pushing bricks away to get inside a door
l5JJ2n2ggiQ_319_327@22,süpermen film klibi,superman movie clip
l5JJ2n2ggiQ_319_327@23,supermene karşı kutup dev canavarın karikatürü,superman vs the arctic giant monster cartoon
l5JJ2n2ggiQ_319_327@24,süpermen kayaları kaldırır ve içeri girer,superman remove the rocks and go inside
l5JJ2n2ggiQ_319_327@25,bir adam büyük tuğlaları yoldan çıkarır,a man pushes large bricks out of the way
l5JJ2n2ggiQ_319_327@26,taşları çıkaran bir süpermen,a superman removing stones
l5JJ2n2ggiQ_319_327@27,animasyonlu süpermen,animated superman
l5JJ2n2ggiQ_319_327@28,süpermen kayaları hareket ettiriyor,superman is moving rocks
l5JJ2n2ggiQ_319_327@29,süpermen buzdağlarını atıyor,super man throwing ice burgs
l5JJ2n2ggiQ_319_327@30,bu süpermen performansı,it is the perfomance of superman
l5JJ2n2ggiQ_319_327@31,süpermen gökten uçar,superman flies out of the sky
l5JJ2n2ggiQ_319_327@32,süpermen kayalar içinde odadan kayaları taşıdı,superman moved the boulders away from the room inside the rocks
l5JJ2n2ggiQ_319_327@33,süpermen animasyonlu bir karikatürü bir kapıya girmek için dev kayaların yolunu temizliyor,an animated cartoon of superman clears the path of huge rocks to enter a gate
l5JJ2n2ggiQ_319_327@34,bir çizgi film süpermen kayaları hareket ettiriyor,a cartoon superman is moving rocks
l5JJ2n2ggiQ_319_327@35,çok iyi süpermen çizgi film videosu,very good superman cartoon video
l5JJ2n2ggiQ_319_327@36,süpermen kayaları kaldırıyor,superman is lifting the rocks
l5JJ2n2ggiQ_319_327@37,bu bir çizgi film seansı,it is a cartoon sean
l5JJ2n2ggiQ_319_327@38,süpermen dünya çapında,a superman is around the world
l5JJ2n2ggiQ_319_327@39,süper adam kayanın üzerinden atlıyor,super man jumping on the rock
lAznAeFFldg_6_10@1,bir adam ormanda bir tepe üzerinde bisiklet sürüyor,a man rides a bike over a hill in the woods
lAznAeFFldg_6_10@2,bir motorcu ormanda bir sıçrama yapar,a biker does a jump in the woods
lAznAeFFldg_6_10@3,bir adam bisikletiyle ormanda atlar,a guy jumps his bike in the woods
lAznAeFFldg_6_10@4,bir adam ormanda bisiklet sürüyor,a man is cycling in the wood
lAznAeFFldg_6_10@5,bir adam bisiklet dublörlüğü yapıyor,a man is performing bike stunts
lAznAeFFldg_6_10@6,bir adam ormanda bir rampa üzerinde bisiklete biniyor,a man is riding a bike over a ramp in the woods
lAznAeFFldg_6_10@7,bir adam bisikletini toprak rampasının üzerinden atlar,a man jumps his bike over a dirt ramp
lAznAeFFldg_6_10@8,bisikletli bir adam çarpıyor,a man on a bicycle goes over a bump
lAznAeFFldg_6_10@9,ormanda bir dağ bisikleti süren bir adam bir yerden bir yere atlar,a man riding a mountain bike in the woods jumps from a height to the ground beneath
lAznAeFFldg_6_10@10,bir kişi bisikletle havada uçuyor,a person is flying through the air on a bike
lAznAeFFldg_6_10@11,bisikletli bir kişi bir sıçrama yapar,a person on a bicycle makes a jump
lAznAeFFldg_6_10@12,bir birey ormanda bisiklet sürüyor,an individual rides a bike through the woods
lAznAeFFldg_6_10@13,birisi ormanlık bir alanda bisiklete biniyor ve bisiklete atlamak için bir toprak yığını kullanıyor,someone is riding a bicycle in a wooded area and uses a mound of dirt to make a jump with the bicycle
lAznAeFFldg_6_10@14,biri bisiklete biniyor,someone is riding a bike
lAznAeFFldg_6_10@15,adam bisikletini ormana sürdü,the man rode his bike into the woods
lAznAeFFldg_6_10@16,adam bisikletini kayadan fırlattı,the man rode his bike off the rock
lAznAeFFldg_6_10@17,adam bisikletini orman yolunda sürdü,the man rode his bike on the forest path
lAznAeFFldg_6_10@18,kişi ahşap bisiklet sürüyor,the person is wood with bike riding
lAznAeFFldg_6_10@19,bir adam dağ bisikletindedir,a man is mountain biking
lAznAeFFldg_6_10@20,adam ormanda bisiklete biniyor,the man is riding the cycle in the forest
lAznAeFFldg_6_10@21,bir adam bisikletiyle zıplar,a man makes a jump on his bicycle
lAznAeFFldg_6_10@22,bir adam bir dağdan aşağı bisiklete biniyor,a man is biking down a mountain
lAznAeFFldg_6_10@23,bir adam ormanda bisiklet sürüyor,a guy is riding a bike in the fprest
lAznAeFFldg_6_10@24,bir çocuk bir ormanda bisiklete biniyor,a boy is riding bicycle in a forest
lAznAeFFldg_6_10@26,bir adam bisikletiyle uçurumdan atlar,a man jumps his bike off a cliff
lAznAeFFldg_6_10@27,bir motosikletçi ormanda gezerken atlama yapıyor,a motorcyclist is doing jumps while riding through the woods
lAznAeFFldg_6_10@28,bir çocuk bisikletle dublörlük yapıyor,a boy is doing stunt with bycle
lAznAeFFldg_6_10@29,birisi ormanda bisikletle iz sürüyor,someone riding bike on trail through woods
lAznAeFFldg_6_10@30,bir adam yokuş aşağı bir dağ bisikleti biniyor,a man is riding a mountain bike downhill
lAznAeFFldg_6_10@31,bir kişi yokuş aşağı bisiklet sürüyor,a person rides a bike downhill
lAznAeFFldg_6_10@32,bisiklet süren bir adam,a man riding bicycle
lAznAeFFldg_6_10@33,bisikletin serbestçe sürerken zevk alan bir çocuk,one boy enjoying the freeride of bike
lAznAeFFldg_6_10@34,biri bisiklete biniyor,smeone is riding a bike
lAznAeFFldg_6_10@35,bir adam bisikletinde dublörlük yapıyor,a man is doing cycle stunt
lAznAeFFldg_6_10@36,bir bisiklet üzerinde bir tür ciddi hareketler gerçekleştiren bir çocuk,a boy performing some kind of serious stunts on a bicycle
lAznAeFFldg_6_10@37,yürüyüşünde bazı numaralar yapan bir erkek,a man doing some stunts on his hike
lAznAeFFldg_6_10@38,çılgın bisiklet yarışı,a crazy bike race
lAznAeFFldg_6_10@39,bisikletle bodur bir adam,a men stunting on the bycycle
lAznAeFFldg_6_10@40,bir bisiklet binicisi bir uçurumun üzerinden atlar,a bicycle rider jumps over a cliff
lAznAeFFldg_6_10@41,bir adam bisiklete biniyor,a man is riding on bycyle
lAznAeFFldg_6_10@42,birisi ormanda bir tepe üzerinde sürerken havaya bisikletle atlıyor,someone leaps a bicycle into the air while riding over a hill in the woods
lB1UPJ4leqs_0_6@1,bir kız yataktan uyanır,a girl wakes up from bed
lB1UPJ4leqs_0_6@2,küçük bir kız büyük bir yatakta uyanır,a little girl wakes up in a big bed
lB1UPJ4leqs_0_6@3,bir kız uykudan uyanır,a girl awakes from sleep
